Ecosite_Num,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30
11,-199.04542,5.06561,0.32518,4.19524,3.93706,-1.62624,2.41228,2.97432,-3.10508,1.75637,0.92816,2.08293,0.79297,8.38536,4.13293,-0.98317,-1.84877,3.39044,-7.10828,-4.22355,0.98414,12.98085,11.02878,12.18927,26.20391,-2.58724,-1.47929,-7.29972,21.56075,4.2559,30.56721
12,-600.70409,3.70901,-0.4535,3.83012,3.84424,-2.78182,1.15067,2.83215,-3.59387,2.4906,2.35549,1.12705,-2.9402,8.42261,2.72753,-3.78841,-2.85305,5.29894,-9.41245,-5.9269,0.52879,14.92588,13.00121,11.52773,30.98802,774.40792,-1.29057,-15.64932,21.40662,3.06613,26.47364
13,-219.62534,4.98182,0.03053,4.38104,4.04428,-2.02586,2.22666,2.62683,-4.28307,-0.08027,0.02399,1.12502,0.86273,8.89486,7.32725,-0.0903,-1.56783,6.21684,-7.04412,-3.64077,1.98894,13.38245,11.57475,12.17504,25.58448,16.8208,-0.94783,-4.8453,25.17371,5.94547,36.45751
14,-221.56305,5.98562,-0.2938,4.77159,6.82076,-2.3496,2.21103,2.32356,-2.84886,1.61449,0.20137,2.09431,0.78517,6.13903,2.42431,-0.88543,-0.9054,1.73125,-4.95245,-3.3211,0.68242,15.71813,13.25641,14.86633,26.78527,4.23696,-5.0216,-7.73066,25.57501,1.94429,30.20553
15,-240.57162,5.06222,0.53464,3.90356,4.46694,-0.72643,2.50797,3.17498,-3.37121,-0.27488,0.68973,2.22051,-2.22739,6.08721,12.61976,-2.56526,-2.82861,9.59468,-9.67372,-5.13131,2.73019,12.15523,8.74676,10.24357,28.31164,23.42012,-25.30518,-7.50105,26.92174,6.30877,33.23679
16,-235.78669,4.42404,0.22251,3.49801,3.82909,-1.61779,1.7845,3.50153,-3.38889,-0.17669,0.23969,1.90651,-1.91397,6.92963,3.62288,-1.79957,-2.8348,16.18865,-8.37054,-3.7436,2.03303,13.54287,10.67157,12.78055,27.88531,43.12494,-9.94376,-8.9806,23.59292,4.49013,29.07069
17,-182.48853,3.74835,-1.49483,2.25155,2.13109,-1.60565,1.95448,2.62827,-4.74829,4.89725,5.31531,0.96274,-0.57692,2.96361,1.71901,-1.66372,-0.37502,0.91195,-5.68224,-3.21589,0.43041,15.50351,12.90302,8.27503,24.00783,17.09242,-4.32579,-10.66103,30.59865,-0.99437,31.48738
18,-181.80284,4.3573,0.07458,3.64177,5.6306,-0.92524,3.39839,4.40725,-3.30726,5.12537,4.21078,4.88966,-1.5354,2.21661,0.4988,0.72118,0.66325,0.60329,-7.03496,-4.42684,0.63618,13.07848,8.26783,8.62274,25.76333,14.09709,-2.39808,-11.52033,30.97989,-4.84104,28.87581
19,-212.87523,3.93212,-0.20765,3.31494,3.78911,-1.31399,2.20467,2.86787,-3.50404,2.9087,1.91164,2.0619,-1.53674,5.59568,8.54127,0.54937,-0.71923,7.02671,-7.33226,-4.51665,1.53053,14.30818,11.25672,11.37466,26.84709,20.34177,-21.98132,-10.04575,21.68501,1.02397,29.00347
20,-193.00402,4.79518,0.05863,3.8118,3.59884,-1.73639,2.44255,3.04983,-3.37016,2.03186,2.24597,2.14906,0.93666,8.40454,2.93879,1.5489,-2.11268,5.13916,-6.26755,-3.16629,0.66823,13.23876,11.24344,11.44711,25.23862,-1.50338,-1.51121,-12.43591,20.63342,2.87615,26.90622
21,-188.61779,2.15642,-1.34858,2.63165,3.32667,-1.30664,1.44684,2.17159,-4.05071,-5.06124,-2.25729,1.99103,0.68669,5.35997,2.1673,0.49164,0.76428,4.51558,-5.82478,0.04874,2.0552,16.67875,11.42128,18.40959,23.86119,9.73709,-2.31344,-10.64084,22.17911,1.58203,29.11996
22,-183.59968,3.29497,-0.91178,3.1177,4.43602,-0.39572,2.05648,2.91483,-3.89603,0.07057,1.33984,2.99138,-1.20543,2.36452,0.55553,-0.63124,1.74585,5.91096,-6.95988,-0.08114,0.9012,14.61355,9.56173,12.17073,25.01511,23.14844,-1.20583,-6.33791,22.08175,-0.31688,28.84105
23,-231.08642,3.70698,-3.43638,5.01251,6.92318,-1.83121,4.33372,7.54745,5.5583,2.18467,1.58606,2.31115,-0.07767,3.92956,1.26827,-1.71494,-1.02102,1.10726,-2.59387,-2.92357,0.36349,20.59236,12.31716,13.35253,25.79157,16.73014,-1.9749,-15.50507,21.60819,18.49881,29.39766
24,-238.78699,4.65456,-3.09462,4.93563,6.74836,-5.24226,7.08501,6.64128,2.88168,0.95694,0.67469,0.89739,0.4005,5.08404,1.9917,-0.56503,-1.26408,1.52648,-2.62762,-1.98581,0.77402,20.60673,14.8163,14.81096,25.59873,13.05411,-3.69563,-17.65139,24.62651,3.92912,26.37468
25,-205.14448,4.83846,-3.89275,6.55216,6.53866,-1.59571,6.85675,9.72936,-1.72012,-1.62801,-1.10866,2.44453,0.23507,3.08199,1.47531,-0.86369,-1.44556,1.64686,-1.43582,-2.30949,0.46238,20.37615,10.22827,14.02516,22.54832,14.99672,-1.27919,-13.45971,24.07027,4.04392,28.96646
26,-206.95837,5.02588,-3.19177,0.24829,-3.51508,-9.84745,8.03164,5.57599,2.65249,-1.43508,-0.71852,-3.28793,0.54373,3.57205,1.82996,-0.64826,-0.99767,1.62027,-2.01639,-1.94129,0.78946,19.27637,20.01374,13.38846,20.59951,12.72324,-2.40098,-8.34511,21.68903,10.57109,26.31617
27,-213.81388,8.51331,1.44333,4.21142,4.32283,-0.80255,3.04103,3.93351,-2.36549,1.19457,2.13891,3.29504,0.00239,2.86888,1.06317,-0.64093,-0.40084,1.11532,-4.40728,-2.76412,0.15962,15.5661,12.07743,13.79501,26.90398,17.2134,-1.3296,-11.47449,24.88528,7.03759,27.47205
28,-214.03289,13.07195,5.42703,8.01864,1.53926,-2.62921,0.1228,3.71517,-4.02754,0.46869,0.02431,1.66843,-1.44751,1.74592,0.04807,-1.64723,-1.94252,1.16656,0.94797,-3.05796,-0.1779,11.51408,13.23959,11.10115,25.60867,14.89994,1.2214,-9.86947,25.26793,10.31584,28.92478
29,-209.40954,13.71929,6.4076,4.07599,1.31719,-3.47993,-0.11129,1.08111,-7.11511,-1.48317,-0.86429,0.96676,-1.6748,2.01828,0.16446,-0.78549,-1.71469,1.32096,-5.8251,-1.26461,0.2716,11.53317,13.34075,13.30864,25.71634,11.45444,0.327,-8.81271,24.01009,7.57504,32.5847
30,-190.67312,4.4745,1.39823,3.60961,1.62954,-2.4508,1.00967,2.25682,-5.39018,-1.16487,-1.01971,0.96281,-0.69239,2.30914,0.84738,0.40022,-0.1473,2.48792,2.90905,-1.06576,0.43736,16.64204,12.72819,12.16611,22.77959,14.7366,-0.21859,-9.86317,25.10149,7.31684,27.63084
31,-300.49686,4.09168,0.54705,3.30197,4.87479,0.08259,2.43241,2.3904,-3.26825,-1.52303,-1.19346,2.23312,-5.77774,1.3843,-0.69422,-5.25623,-5.58319,18.29995,-12.27565,-5.22795,25.0142,12.29873,7.04393,10.75339,31.47668,43.44644,-1.85878,-6.67388,27.9738,5.66747,32.28462
32,-261.15974,3.3697,-0.48103,3.16721,4.50046,-0.22015,1.97631,2.03793,-4.15917,-3.78333,-2.61142,2.60851,-2.90486,2.31909,0.78853,-3.92688,-1.86948,13.02916,-8.96918,0.59014,27.88748,13.981,8.31439,13.79334,26.78022,33.20119,-2.7328,-7.45468,27.72604,4.24111,33.72574
33,-209.13835,1.65211,-1.20579,2.5405,4.11615,0.01015,1.50628,2.46777,-4.85491,0.00967,-0.0074,5.76765,-3.35489,1.57702,-0.89294,-2.6479,-1.02581,7.27779,-8.53139,0.8919,0.94836,17.79813,9.9678,11.34932,28.23826,25.77568,1.92823,-9.43602,26.88211,2.52653,31.53724
34,-217.78455,1.12786,-1.07748,2.21889,4.54674,-0.03625,2.64136,3.11988,-3.54225,1.68397,-0.14503,12.55401,-2.85314,1.6633,-1.08676,-1.32039,-1.80742,0.65562,-7.33202,-0.14272,0.51108,19.76654,10.80511,14.00876,29.03028,16.74632,2.81402,-12.71382,25.02908,-0.85257,24.63296
35,-237.87134,8.12736,2.07709,3.9188,5.28757,0.661,4.4154,3.5265,-5.05423,-0.24753,-2.84273,18.44313,-0.61957,2.84447,0.48742,0.12585,-0.18773,1.24207,-4.34997,-1.93627,-0.43508,15.03195,10.38839,17.31235,26.6018,14.8722,-0.21749,-12.71746,26.05349,0.5756,25.15346
